title,description,cleaned_text
Internship HR Analytics (all genders),"Location: Vienna - Working-Hours: Full-time - Occupation Area: Human resources, Others … Experience with one or more data analysis tools, programming languages and/or databases: Python, R, Knime, Tableau, Impala, ELK Stack, Hadoop, etc",location vienna working hour full time upation area human resource others experience one data analysis tool programming language database python r knime tableau impala elk stack hadoop etc
Junior RF System Engineer (f/m/d),"Definition, implementation and execution of block level, system level and application tests - Validation and qualification of contactless systems according ISO15693/ISO18000 (EPC Global) - Extension of test setups and contactless compliance test methods … Software skills: LabVIEW, Python",definition implementation execution block level system level application test validation qualification contactless system ording iso iso epc global extension test setup contactless compliance test method software skill labview python
(Junior) Test Engineer Off-Highway (m/f/d),"Technical education (HTL, FH, TU) * Good knowledge of programming in Python * Experience in C programming is a plus * Hands-on experience with electronic/electric systems and lab equipment (Oscilloscope, Power Supplies) * Hands-on experience with assembly, soldering, wiring",technical education htl fh tu good knowledge programming python experience c programming plus hand experience electronic electric system lab equipment oscilloscope power supply hand experience assembly soldering wiring
Senior Data Scientist (w/m/div)*,"Das KAI Data Science Team entwickelt Machine Learning (ML) und Deep Learning (DL) Modelle auf Basis von Produktionsdaten unseres Mutterkonzerns Infineon … Um einen nachhaltigen Nutzen aus den ML/DL Modellen zu ziehen, entwickelt das KAI Data Science Team auch effiziente ML/DL Pipelines basierend auf … ",da kai data science team entwickelt machine learning ml und deep learning dl modelle auf basis von produktionsdaten unseres mutterkonzerns infineon um einen nachhaltigen nutzen au den ml dl modellen zu ziehen entwickelt da kai data science team auch effiziente ml dl pipeline basierend auf
"Projektmitarbeiter:in (m/w/d) im Bereich Data Science und Analyse (Vollzeit – 38,5 h / Teilzeit)","Mitarbeit in renommierten, spannenden und sinnstiftenden Projekten hauptsächlich im Bereich Tourismus mit Fokus auf Arbeit mit Zahlen und deren Relevanz für … Erfahrung mit der Datenanalyse, Data Cleaning, Data Handling sowie Programmierkenntnisse in R/Python",mitarbeit renommierten spannenden und sinnstiftenden projekten haupts chlich im bereich tourismus mit fokus auf arbeit mit zahlen und deren relevanz f r erfahrung mit der datenanalyse data cleaning data handling sowie programmierkenntnisse r python
Project Management R&D FTIR (f/m/x),"Leading the project execution from the idea to the product launch * Planning, monitoring and reporting of project scope, progress, time and budget … Basic experience in programming (Python, Matlab), data science and statistics",leading project execution idea product launch planning monitoring reporting project scope progress time budget basic experience programming python matlab data science statistic
Senior DevOps Engineer (m/f/x),"Location: Premstätten or Vienna Employment: Full-time Effective immediately Remote possible - BearingPoint is Austria's largest management and technology consultancy … Advanced coding experience, ideally in at least one of Python, Go, JS, Rust",location premst tten vienna employment full time effective immediately remote possible bearingpoint austria largest management technology consultancy advanced coding experience ideally least one python go j rust
Data Solutions Manager (w/m/x),"Sie sind als Teil des neu geschaffenen Digital-Teams im Motorraum der digitalen Transformation der ÖRAG Gruppe * Sie leiten aus der Digitalstrategie eine Datenstrategie ab und entwickeln diese regelmäßig weiter … Kenntnisse in SQL, Python oder R und im Gebrauch von BI und Datenvisualisierungs-Tools … ",sie sind al teil de neu geschaffenen digital team im motorraum der digitalen transformation der rag gruppe sie leiten au der digitalstrategie eine datenstrategie ab und entwickeln diese regelm ig weiter kenntnisse sql python oder r und im gebrauch von bi und datenvisualisierungs tool
Master Thesis (f/m/d) Computational identification of cancer targets,"BSc Degree in Bioinformatics, Computational Biology or related field with first experience in Bioinformatics * Hands-on experience with programming languages such as R and Python * First experience with command line programming and experience in using Atlassian stack/Bitbucket or Github is a plus",bsc degree bioinformatics computational biology related field first experience bioinformatics hand experience programming language r python first experience command line programming experience using atlassian stack bitbucket github plus
Junior Software Tester HiL (m/w/d),"Das erwartet dich - Du interessierst dich für Software Testing im Automotive Bereich? Du hast bereits herausgefunden was hinter ""HiL - Hardware in the Loop"" steckt und hast Interesse an Embedded Software, am neuesten Stand der Technik … Gute Programmierkenntnisse, vorzugsweise C/ Python",da erwartet dich du interessierst dich f r software testing im automotive bereich du hast bereits herausgefunden hinter hil hardware loop steckt und hast interesse embedded software neuesten stand der technik gute programmierkenntnisse vorzugsweise c python
Business Intelligence Developer (m/w/d),"kennst dich mit SQL und Datenmodellierung aus und Technologien wie Power BI, Synapse, Data Lake, Data Factory, Databricks, Python usw. wecken dein Interesse - gewährleistest im DevOps-Team gemeinsam die Wartung und den Betrieb der Data & Analytics Plattform",kennst dich mit sql und datenmodellierung au und technologien wie power bi synapse data lake data factory databricks python usw wecken dein interesse gew hrleistest im devops team gemeinsam die wartung und den betrieb der data analytics plattform
DeveloperIn in einem RPA Team (m/f/d),"Konzeption und Implementierung von Lösungen zur Automatisierung von strukturierten Geschäftsprozessen für unsere Kunden und Atos intern … Praxiserfahrung in mindestens einer objektorientierten Programmiersprache (z.B. .NET, VBA, Java, C#, Python etc",konzeption und implementierung von l sungen zur automatisierung von strukturierten gesch ftsprozessen f r unsere kunden und atos intern praxiserfahrung mindestens einer objektorientierten programmiersprache z b net vba java c python etc
Softwareentwickler (m/w/d),"Softwareentwickler - Innsbruck - Du möchtest bei diversen und spannenden Programmierungsprojekten in der Tiroler Wirtschaft tätig sein … Stack du deinen Fokus legst und in welcher Sprache (C#, C/C++, Java, Python) du entwickelst, ist dir überlassen, da die Projektlage breit gefächert ist",softwareentwickler innsbruck du chtest bei diversen und spannenden programmierungsprojekten der tiroler wirtschaft tig sein stack du deinen fokus legst und welcher sprache c c c java python du entwickelst ist dir berlassen da die projektlage breit gef chert ist
Senior Software Engineer for Data Products & Services (f/m/d),"You architecture, design, implement and deploy enterprise software for our data products and services * Strong focus on meeting business needs cost-effectively … Proficient working experience in one or more of the following: Java/Springboot, Golang, Python, Ansible",architecture design implement deploy enterprise software data product service strong focus meeting business need cost effectively proficient working experience one following java springboot golang python ansible
Software Quality Engineer for Data Products & Services (f/m/d),"You continuously improve software quality of our data products and services throughout the full software development lifecycle * You design, implement and deploy reusable tests … Hands-on experience in one or more: Python, Docker, SQL, noSQL, Java",continuously improve software quality data product service throughout full software development lifecycle design implement deploy reusable test hand experience one python docker sql nosql java
Automation Engineer E/E m/f/d,"Join our team -...apply now!!! 20.12.2022 - Job-Nr.: 2466 - ASCO Engineering (www.asco-engineering.at) - a member of ASCO Group International (www.asco-group.at) - is a technical service provider in the field of plant … You have knowledge in at least one programming language (C, C++, C#, Python, Java",join team apply job nr asco engineering www asco engineering member asco group international www asco group technical service provider field plant knowledge least one programming language c c c python java
Engineer Prüfstandsinbetriebnahme (m/w/d),Mechatronische Vorinbetriebnahme von Steuergeräten/Invertern zur weiteren Verwendung am Prüfstand * Erstellung von Gateways vom Fahrzeugbus (CAN/CAN-FD/FlexRay) zum Prüfstand (CAN) sowie Restbussimulationen … Programmierkenntnisse (CAPL/Python/C#/.NET) von Vorteil,mechatronische vorinbetriebnahme von steuerger ten invertern zur weiteren verwendung pr fstand erstellung von gateway vom fahrzeugbus fd flexray zum pr fstand sowie restbussimulationen programmierkenntnisse capl python c von vorteil
Scientific Computing Specialist,"Scientific Computing at ISTA works closely with our scientists to provide support in the transition of scientific problems into computing solutions … Familiarity with scientific tools and programming languages like Python, Matlab, C, C++",scientific computing ista work closely scientist provide support transition scientific problem computing solution familiarity scientific tool programming language like python matlab c c
IIoT Engineer (m/w/d),"Entwicklung und Optimierung von IIoT-Lösungen und Unterstützung unserer globalen Produktionsstandorte im Bereich Smart Factory * Betreuung und Erarbeitung des gesamten Lifecycles einer IIoT-Lösung - vom Kundenkontakt, Maschinenanbindung, Netzwerk, Konfiguration, Softwareentwicklung und … ",entwicklung und optimierung von iiot l sungen und unterst tzung unserer globalen produktionsstandorte im bereich smart factory betreuung und erarbeitung de gesamten lifecycles einer iiot l sung vom kundenkontakt maschinenanbindung netzwerk konfiguration softwareentwicklung und
SW Tester (w/m/d),"Die Unternehmenskultur zeichnet sich vor allem durch eine hohe Teamorientierung aus, in welcher aber auch selbstständiges Arbeiten und Eigeninitiative geschätzt … Fundiertes Scripting-Know-how und idealerweise Erfahrung mit Python",die unternehmenskultur zeichnet sich vor allem durch eine hohe teamorientierung au welcher aber auch selbstst ndiges arbeiten und eigeninitiative gesch tzt fundiertes scripting know und idealerweise erfahrung mit python
Test Automation Engineer (m/f/d),"Completed technical education (HTL, FH, TU) * Profound knowledge of Linux, Python programming, networks and container technologies (e.g. Docker, etc.) * Experience with equipment from National Instruments and Labview is an advantage",completed technical education htl fh tu profound knowledge linux python programming network container technology e g docker etc experience equipment national instrument labview advantage
DevOps Engineer,"Sie sind verantwortlich für die Implementierung und Optimierung der CI/CD Prozesse. * Im Zuge Ihrer Rolle betreuen und begleiten Sie die Weiterentwicklung unserer PaaS (Plattform as a Service) … Kenntnisse in der Programmierung mit Python, Bash oder Go sind von Vorteil",sie sind verantwortlich f r die implementierung und optimierung der ci cd prozesse im zuge ihrer rolle betreuen und begleiten sie die weiterentwicklung unserer paas plattform service kenntnisse der programmierung mit python bash oder go sind von vorteil
Embedded Linux Entwickler (w/m/d) C/C++ #developer #embeddedLinux,"Sie haben vorzugsweise eine abgeschlossene technische Ausbildung (HTL/FH/TU/entsprechende Berufserfahrung) im Bereich Elektronik, Elektrotechnik, Telematik, o.ä … Sie haben möglicherweise Programmierkenntnisse in C# und Python",sie haben vorzugsweise eine abgeschlossene technische ausbildung htl fh tu entsprechende berufserfahrung im bereich elektronik elektrotechnik telematik sie haben glicherweise programmierkenntnisse c und python
System Test Engineer Automation (m/f/d),"Creation, improvement, and management of test scripts with Python, Git and Windchill … HTL or University degree in a technical field of study preferably with a focus in electronics or computer science * 3-5 years' experience in the field of software integration testing or test automation",creation improvement management test script python git windchill htl university degree technical field study preferably focus electronics computer science year experience field software integration testing test automation
PostDoc: Modeling and understanding the degradation of SiC power devices (f/m/div)*,"The main tasks at this position are … Discretization of differential equations * Implementation of the model in an open source Python tool (Comphy) * Advanced characterization of electrical characteristics * Charge trapping, defect creation, and defect transformation",main task position discretization differential equation implementation model open source python tool comphy advanced characterization electrical characteristic charge trapping defect creation defect transformation
