title,description,job_url
Privatkundenbetreuer:in,"Sie beraten Ihre Kunden in allen Finanzangelegenheiten, speziell in Sachen Finanzierung, Veranlagung, Zahlungsverkehr und Vorsorge. Durch Ihr Kommunikationstalent gelingt es Ihnen, nachhaltige und erfolgreiche Kundenbeziehungen aufzubauen und zu pflegen … Einschlägige Bankausbildung",https://www.metajob.at/dres/jc?p=00dm4ty6v9qyo9
Privatkundenbetreuer:in (m/w/d),Überzeugen Sie uns fachlich und persönlich * Abgeschlossene Bankausbildung sowie entsprechende Berufserfahrung im Bankbereich * Umfassende Kenntnisse von Bankprodukten von Vorteil * Ausgezeichnete MS-Office Kenntnisse und ein gutes Zahlengefühl,https://www.metajob.at/dres/jc?p=000a5vwblh35od
Privatkundenbetreuer (m/w/d),"Betreuung und Beratung zugeordneter Kund:innen in allen finanziellen Angelegenheiten (Veranlagung, Finanzierung, Konto/Zahlungsverkehr, Versicherungen) - Umsichtige Bedarfserhebung, Erarbeitung und Verkauf bedarfsgerechter Finanzlösungen … Idealerweise erste Erfahrung im Bankkundengeschäft",https://www.metajob.athttps://jobs.karriere.nachrichten.at/stellenangebot/privatkundenbetreuer-m-w-d-DGZ92K
Assistenz Private Banking (all genders),Bedürfnisorientierte Betreuung mit Fokus auf das gehobene Veranlagungsgeschäft - Aktive Unterstützung der Private Banking Betreuer*innen im Tagesgeschäft - Vor- und Nachbearbeitung von Kundengesprächen - Verkaufsorientierte Unterstützung der Private Banking Betreuer*innen,https://www.metajob.at/dres/jc?p=00ca79egecwa4c
Business Development Bankwesen,"Wir verstehen uns nicht nur als Bank, sondern als Partner*in auf Augenhöhe … Sie unterstützen und vertreten die Vertriebsleitung in der Vertriebssteuerung und bei der Entwicklung von neuen Produkten, Dienstleistungen und Geschäftsfeldern. IHRE AUFGABEN - Akquise & Betreuung von neuen Vertriebspartnern",https://www.metajob.at/dres/jc?p=00ci85mhnz8kui
Kundenberatung Private Banking (m/w/d),Folgende Aufgaben bringt diese Position mit sich: Beratung und Betreuung mit Fokus auf das gehobene Veranlagungsgeschäft - Aktiver Verkauf der Produkt- und Dienstleistungspalette mit dem Schwerpunkt Wertpapiere und Versicherungen … Beratung im Umgang mit der Online Banking Plattform und der Mobilen App,https://www.metajob.at/dres/jc?p=000a57f53ygvmk
Privatkundenbetreuer (w/m/d) - RK Orth a. d. Donau,"d. Donau - Orth an der Donau, Anstellungsart: Vollzeit - IHRE AUFGABEN: MEHR BEWEGEN - Wie Ihr Arbeitsalltag aussieht? Abwechslung statt Einheitsbrei … Idealerweise mehrjährige Berufserfahrung in der Kundenbetreuung einer Bank und abgeschlossene Bankausbildung",https://www.metajob.at/dres/jc?p=002n3bryci9zyy
Associate (all genders) Gesamtbanksteuerung,Beratung nationaler und internationaler Banken oder Financial Services Unternehmen … einer risiko- und wertorientierten Gesamtbanksteuerung insbesondere ICAAP … Definition von Abwicklungsstrategien und Ausgestaltung von Abwicklungsplänen für Banken,https://www.metajob.at/dres/jc?p=000a4tpm9zn3io
(FH-)Praktikum Private Banking-Wealth-Management (m/w/d),"#glaubandich … Dienstort: Wien - Arbeitszeitausmaß: Vollzeit - Berufsfeld: Financial Markets - Unternehmen: Erste Bank Oesterreich - Die Erste Bank Oesterreich ist eines der führenden heimischen Geldinstitute. Als Teil der international tätigen Erste Group sind wir eine attraktive Arbeitgeberin, die ihren Mitarbeiter:innen … ",https://www.metajob.at/dres/jc?p=00786my9wwmqvr
Privatkundenbetreuer (m/w/d),"Betreuung und Beratung zugeordneter Kund:innen in allen finanziellen Angelegenheiten (Veranlagung, Finanzierung, Konto/Zahlungsverkehr, Versicherungen) … Idealerweise Bankerfahrung in der Kundenbetreuung und/oder Erfahrung im Vertriebs- oder Dienstleistungsbereich",https://www.metajob.at/dres/jc?p=000a5vwb472tx9
