title,description,cleaned_text
IT Security Manager (m/w/d) - IT Security Engineer,"Du gestaltest aktiv unsere IT Security Strategie weiter * Du analysierst und bewertest in unserer aktuellen SOC/SIEM Architektur mögliche IT-Security Risiken innerhalb der gesamten Organisation, definierst Maßnahmen … Du begleitest interne sowie externe Sicherheitsüberprüfungen (z.B.: Vulnerability Scans … ",du gestaltest aktiv unsere security strategie weiter du analysierst und bewertest unserer aktuellen soc siem architektur gliche security risiken innerhalb der gesamten organisation definierst nahmen du begleitest interne sowie externe sicherheits berpr fungen z b vulnerability scan
IT Software Developer*in (w/m/d),"Das sind wir und das bewegt uns: Die Österreichische Post AG bringt einiges zusammen.Denn wir liefern Lösungen, verbinden Menschen und stehen für Diversität und Ehrlichkeit.Wir leben ein … Wir sind ein IT-Entwicklungsteam im Daten- und Adressmanagement der Post",da sind wir und da bewegt un die sterreichische post ag bringt einiges zusammen denn wir liefern l sungen verbinden menschen und stehen f r diversit und ehrlichkeit wir leben ein wir sind ein entwicklungsteam im daten und adressmanagement der post
Senior Java Software Developer (w/m/x),Gemeinsam mit deinen Kollegen bist du für die Entwicklung von verschiedenen Modulen einer Dispositionssoftware für den öffentlichen Verkehr zuständig. Folgende Aufgaben übernimmst du dabei: Backend-Entwicklung in Java - Programmieren von Webservices und Schnittstellen,gemeinsam mit deinen kollegen bist du f r die entwicklung von verschiedenen modulen einer dispositionssoftware f r den ffentlichen verkehr zust ndig folgende aufgaben bernimmst du dabei backend entwicklung java programmieren von webservices und schnittstellen
IT Netzwerktechniker (m/w/d),"Eigenverantwortliche System- und Netzwerkadministration - Kontinuierliche Weiterentwicklung der gesamten IT-Landschaft - Koordinierung von Partnerfirmen - Betreuung des ERP Systems … Abgeschlossene technische Ausbildung im Bereich IT (LAP, HTL, FH o.ä",eigenverantwortliche system und netzwerkadministration kontinuierliche weiterentwicklung der gesamten landschaft koordinierung von partnerfirmen betreuung de erp system abgeschlossene technische ausbildung im bereich lap htl fh
Senior Java Developer,"Development of end-to-end mission critical communication solutions systems using REST services based on CI/CD architecture (Jenkins, Git, Maven/Gradle, etc.) Creation of concepts and solution architectures in the course of tender responses",development end end mission critical communication solution system using rest service based ci cd architecture jenkins git maven gradle etc creation concept solution architecture course tender response
IT Security Architect / IT Security Engineer (w/m/d)," … implementieren und überwachen eines strategisch umfassenden Programms für IT-/ und Informationssicherheit einschließlich des notwendigen Risikomanagements - Verantwortung für die Sicherstellung der Vertraulichkeit, Integrität und Verfügbarkeit von Informationen für Geschäftsprozesse",implementieren und berwachen eines strategisch umfassenden programms f r und informationssicherheit einschlie lich de notwendigen risikomanagements verantwortung f r die sicherstellung der vertraulichkeit integrit und verf gbarkeit von informationen f r gesch ftsprozesse
Softwareentwickler C#/.NET (m/w/d),"Wenn du eine solide Basis in der Entwicklung mit C# mitbringst, in einem agilen und dynamischen Team moderne Lösungen entwickeln willst und dich nicht scheust … Das sind deine spannenden Aufgaben - Du übernimmst Verantwortung für die Qualität und die Zuverlässigkeit deiner Funktionen in einer sich im … ",wenn du eine solide basis der entwicklung mit c mitbringst einem agilen und dynamischen team moderne l sungen entwickeln willst und dich nicht scheust da sind deine spannenden aufgaben du bernimmst verantwortung f r die qualit und die zuverl ssigkeit deiner funktionen einer sich im
Java Back End Developer,Mitarbeit bei der Wartung des Backend-Teils einer wichtigen Anwendung mit Java EE - Unterstützung bei Anpassungen der Benutzerschnittstelle mit einem Client-Server-Entwicklungs-Tool - Third-Level-Support und Behebung von Fehlern,mitarbeit bei der wartung de backend teils einer wichtigen anwendung mit java ee unterst tzung bei anpassungen der benutzerschnittstelle mit einem client server entwicklungs tool third level support und behebung von fehlern
Java Developer (m/w/d),"Betreiben & Betreuen eines Java-basierten MCAD Tools inkl. der IT Infrastruktur - Anpassprogrammierung je nach Anwender Demand - Softwareentwicklung für Linux-Betriebssystem - Weiterentwicklung und Optimierung der Tools (Anwenderfreundlichkeit, IT Security, Optimierung der Effizienz/Laufzeit, etc",betreiben betreuen eines java basierten mcad tool inkl der infrastruktur anpassprogrammierung je nach anwender demand softwareentwicklung f r linux betriebssystem weiterentwicklung und optimierung der tool anwenderfreundlichkeit security optimierung der effizienz laufzeit etc
Cyber Security Spezialist (m/w/d) - Security Engineer,Sie sind für die kontinuierliche Weiterentwicklung der Cybersicherheitslösungen verantwortlich * Sie übernehmen Verantwortung für die fachliche Umsetzung und Weiterentwicklung des Identity & Access Managementsystems (IAM) … abgeschlossenes Studium oder eine vergleichbare Ausbildung im IT-Bereich,sie sind f r die kontinuierliche weiterentwicklung der cybersicherheitsl sungen verantwortlich sie bernehmen verantwortung f r die fachliche umsetzung und weiterentwicklung de identity es managementsystems iam abgeschlossenes studium oder eine vergleichbare ausbildung im bereich
